Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q26,Q22,Q23,Q24,Q25
Rarely,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Consult a colleague,Never,Rarely,Occasionally,Rarely,Rarely,Confident,Never,Very helpful,Most of the time,Simulations,Effective,No,Somewhat relevant,Somewhat,Rarely,"Yes, always",Neutral,Useful,"Yes, significantly"
Always,Not sure what a password manager is,Not confident,Not sure,Somewhat confident,Delete it immediately,Always,Most of the time,"No, never",Monthly,Sometimes,Very confident,Never,Very helpful,Never,Quizzes,Effective,Rarely,Neutral,Somewhat,Sometimes,"Yes, always",Neutral,Neutral,"Yes, somewhat"
Rarely,No,Confident,Not sure,Neutral,Consult a colleague,Often,Most of the time,"Yes, frequently",Monthly,Rarely,Not confident,Never,Very helpful,Always,Quizzes,Very effective,No,Somewhat relevant,"Yes, significantly",Sometimes,Rarely,Effective,Not useful,Neutral
Often,Not sure what a password manager is,Not confident,"Yes, recently",Very confident,Report it to IT,Often,Rarely,"No, never",Every week,"Yes, manually",Not confident,Rarely,Not very helpful,Always,Simulations,Effective,Sometimes,Neutral,Somewhat,Rarely,Rarely,"Yes, highly effective",Neutral,Neutral
Never,Not sure what a password manager is,Confident,"Yes, recently",Very confident,Consult a colleague,Rarely,Never,Rarely,Occasionally,Sometimes,Very confident,Occasionally,Helpful,Never,Videos,Neutral,No,Not relevant,No,Rarely,Sometimes,Neutral,Not useful,"Yes, somewhat"
Sometimes,Not sure what a password manager is,Not confident,"Yes, recently",Not confident,Delete it immediately,Rarely,Never,"No, never",Occasionally,Rarely,Not confident,Rarely,Neutral,Rarely,Videos,Neutral,Rarely,Somewhat relevant,Somewhat,Never,Rarely,Effective,Useful,No
Often,No,Confident,Not sure,Not confident,Consult a colleague,Never,"Yes, always","Yes, frequently",Never,"Yes, automatically",Confident,Rarely,Not helpful at all,Most of the time,Live training sessions,Effective,"Yes, always",Somewhat relevant,"Yes, significantly",Rarely,Rarely,Effective,Not useful,Neutral
Often,Not sure what a password manager is,Not confident,"No, never",Neutral,Open and read carefully,Rarely,Most of the time,Rarely,Rarely,Rarely,Confident,Rarely,Not very helpful,Rarely,Simulations,Neutral,No,Neutral,No,Sometimes,"Yes, always",Not effective,Useful,No
Rarely,No,Not confident,"Yes, recently",Neutral,Consult a colleague,Rarely,Sometimes,Rarely,Never,Never,Confident,Never,Not helpful at all,Most of the time,Live training sessions,Not effective,No,Not relevant,Somewhat,Sometimes,"Yes, always",Not effective,Not useful,"Yes, significantly"
Often,Not sure what a password manager is,Not confident,Not sure,Not confident,Consult a colleague,Always,Rarely,Occasionally,Never,Sometimes,Confident,Never,Neutral,Never,Live training sessions,Very effective,No,Not relevant,Neutral,Rarely,Sometimes,Effective,Very useful,Neutral
Never,No,Confident,"Yes, recently",Neutral,Consult a colleague,Rarely,Never,Occasionally,Rarely,Rarely,Confident,Occasionally,Helpful,Sometimes,Videos,Not effective,Sometimes,Neutral,No,"Yes, frequently",Sometimes,Neutral,Very useful,"Yes, significantly"
Never,Yes,Not confident,"Yes, but a long time ago",Not confident,Open and read carefully,Rarely,Most of the time,"No, never",Every week,Rarely,Very confident,Occasionally,Not very helpful,Most of the time,Live training sessions,Very effective,Rarely,Not relevant,"Yes, significantly","Yes, frequently",No,Not effective,Useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Confident,Not sure,Neutral,Report it to IT,Rarely,Rarely,"No, never",Never,Sometimes,Confident,Occasionally,Very helpful,Most of the time,Live training sessions,Very effective,Sometimes,Not relevant,Neutral,"Yes, frequently",Sometimes,Neutral,Not useful,No
Sometimes,Not sure what a password manager is,Not confident at all,"Yes, recently",Somewhat confident,Report it to IT,Often,"Yes, always",Rarely,Occasionally,"Yes, manually",Very confident,Never,Not very helpful,Most of the time,Videos,Effective,Sometimes,Neutral,No,Rarely,Rarely,"Yes, highly effective",Very useful,Neutral
Rarely,No,Very confident,"Yes, recently",Somewhat confident,Consult a colleague,Sometimes,Most of the time,"No, never",Every week,"Yes, manually",Confident,Rarely,Not very helpful,Most of the time,Quizzes,Effective,No,Very relevant,"Yes, significantly",Sometimes,"Yes, always",Effective,Very useful,"Yes, significantly"
Often,Not sure what a password manager is,Confident,"Yes, recently",Not confident,Consult a colleague,Often,Rarely,"No, never",Every week,"Yes, automatically",Very confident,Rarely,Not very helpful,Never,Quizzes,Not effective,No,Neutral,"Yes, significantly","Yes, frequently","Yes, always",Not effective,Very useful,"Yes, significantly"
Rarely,Yes,Confident,"Yes, but a long time ago",Very confident,Consult a colleague,Always,Most of the time,"No, never",Occasionally,Rarely,Confident,Occasionally,Not very helpful,Sometimes,Simulations,Effective,"Yes, always",Neutral,No,Rarely,Sometimes,"Yes, highly effective",Useful,No
Rarely,Not sure what a password manager is,Very confident,"Yes, recently",Not confident,Report it to IT,Never,Rarely,Occasionally,Monthly,Sometimes,Confident,Never,Very helpful,Always,Quizzes,Very effective,No,Neutral,Somewhat,Never,Rarely,Neutral,Useful,"Yes, somewhat"
Sometimes,No,Confident,"No, never",Very confident,Delete it immediately,Rarely,Rarely,Rarely,Never,Sometimes,Neutral,Not sure,Very helpful,Always,Live training sessions,Not effective,"Yes, always",Not relevant,Neutral,Never,Sometimes,"Yes, highly effective",Not useful,"Yes, somewhat"
Often,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Consult a colleague,Always,Never,"Yes, frequently",Monthly,"Yes, manually",Very confident,"Yes, frequently",Not helpful at all,Never,Quizzes,Not effective,No,Neutral,No,"Yes, frequently",Rarely,Not effective,Useful,"Yes, somewhat"
Often,Yes,Confident,"Yes, but a long time ago",Somewhat confident,Consult a colleague,Sometimes,Rarely,"No, never",Monthly,"Yes, manually",Very confident,Never,Helpful,Most of the time,Live training sessions,Very effective,"Yes, always",Neutral,No,Rarely,Sometimes,Effective,Very useful,"Yes, significantly"
Rarely,Not sure what a password manager is,Not confident,"Yes, recently",Very confident,Report it to IT,Often,Sometimes,"Yes, frequently",Occasionally,Sometimes,Very confident,Never,Not very helpful,Always,Live training sessions,Very effective,No,Neutral,Neutral,Sometimes,No,"Yes, highly effective",Not useful,"Yes, somewhat"
Often,Not sure what a password manager is,Not confident at all,Not sure,Not confident,Open and read carefully,Rarely,Rarely,Occasionally,Rarely,"Yes, automatically",Confident,"Yes, frequently",Not very helpful,Always,Quizzes,Effective,Sometimes,Not relevant,Neutral,"Yes, frequently","Yes, always","Yes, highly effective",Neutral,Neutral
Sometimes,Yes,Not confident,"Yes, recently",Very confident,Consult a colleague,Rarely,Sometimes,"Yes, frequently",Occasionally,Sometimes,Very confident,Not sure,Not very helpful,Never,Videos,Not effective,No,Neutral,Somewhat,"Yes, frequently",No,Effective,Useful,"Yes, significantly"
Sometimes,No,Confident,"No, never",Not confident,Consult a colleague,Always,Most of the time,Rarely,Never,"Yes, automatically",Neutral,Never,Not very helpful,Always,Videos,Effective,Sometimes,Somewhat relevant,"Yes, significantly",Rarely,No,Neutral,Neutral,"Yes, significantly"
Never,No,Confident,"Yes, recently",Somewhat confident,Delete it immediately,Always,Most of the time,"No, never",Rarely,Sometimes,Very confident,Occasionally,Neutral,Always,Videos,Effective,Sometimes,Neutral,Neutral,Rarely,Sometimes,Not effective,Not useful,"Yes, significantly"
Rarely,Yes,Confident,"Yes, recently",Not confident,Report it to IT,Rarely,"Yes, always","Yes, frequently",Monthly,"Yes, automatically",Not confident,Rarely,Not very helpful,Rarely,Simulations,Effective,Sometimes,Neutral,Neutral,Sometimes,Rarely,Neutral,Useful,"Yes, significantly"
Sometimes,No,Not confident,"No, never",Somewhat confident,Consult a colleague,Rarely,Most of the time,Occasionally,Monthly,"Yes, manually",Very confident,Not sure,Not very helpful,Sometimes,Simulations,Neutral,Rarely,Very relevant,Neutral,"Yes, frequently",No,Effective,Useful,"Yes, somewhat"
Always,Yes,Very confident,Not sure,Neutral,Delete it immediately,Rarely,Most of the time,"Yes, frequently",Rarely,"Yes, manually",Very confident,Never,Very helpful,Never,Simulations,Effective,No,Not relevant,No,Rarely,"Yes, always",Neutral,Very useful,"Yes, significantly"
Never,No,Not confident at all,"Yes, recently",Very confident,Delete it immediately,Rarely,Never,Occasionally,Occasionally,Rarely,Confident,"Yes, frequently",Neutral,Most of the time,Live training sessions,Not effective,Sometimes,Somewhat relevant,No,Rarely,Rarely,"Yes, highly effective",Not useful,"Yes, somewhat"
Often,No,Very confident,"Yes, but a long time ago",Very confident,Report it to IT,Often,"Yes, always","No, never",Monthly,"Yes, manually",Very confident,Occasionally,Very helpful,Rarely,Videos,Very effective,"Yes, always",Neutral,Neutral,Sometimes,Rarely,Effective,Useful,"Yes, somewhat"
Never,Yes,Very confident,"Yes, recently",Very confident,Consult a colleague,Always,Sometimes,"No, never",Every week,"Yes, manually",Very confident,Not sure,Not helpful at all,Most of the time,Quizzes,Very effective,Rarely,Neutral,Somewhat,Rarely,Sometimes,Not effective,Neutral,Neutral
Sometimes,No,Very confident,"No, never",Very confident,Report it to IT,Rarely,Sometimes,Rarely,Monthly,"Yes, automatically",Neutral,Not sure,Neutral,Most of the time,Quizzes,Not effective,No,Very relevant,Neutral,Rarely,Sometimes,Effective,Very useful,No
Rarely,Not sure what a password manager is,Not confident at all,Not sure,Not confident,Open and read carefully,Always,Never,Rarely,Never,Rarely,Neutral,Not sure,Not helpful at all,Never,Simulations,Very effective,Rarely,Somewhat relevant,"Yes, significantly","Yes, frequently",Rarely,Neutral,Not useful,Neutral
Rarely,Yes,Confident,Not sure,Very confident,Open and read carefully,Rarely,Sometimes,Rarely,Occasionally,"Yes, automatically",Neutral,Never,Not very helpful,Always,Simulations,Very effective,No,Very relevant,"Yes, significantly","Yes, frequently","Yes, always","Yes, highly effective",Useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Not confident,"Yes, recently",Not confident,Report it to IT,Rarely,Never,Rarely,Every week,Rarely,Confident,Rarely,Very helpful,Sometimes,Simulations,Very effective,Sometimes,Neutral,Neutral,Sometimes,No,Not effective,Very useful,No
Often,No,Neutral,"No, never",Not confident,Report it to IT,Often,Never,Rarely,Monthly,Rarely,Not confident,"Yes, frequently",Not very helpful,Always,Live training sessions,Effective,Rarely,Neutral,No,"Yes, frequently",Sometimes,Not effective,Very useful,"Yes, significantly"
Always,Yes,Very confident,"Yes, recently",Very confident,Delete it immediately,Rarely,"Yes, always","Yes, frequently",Every week,"Yes, manually",Confident,Not sure,Neutral,Rarely,Videos,Neutral,Rarely,Very relevant,Somewhat,Rarely,No,Neutral,Not useful,"Yes, somewhat"
Often,Yes,Not confident at all,"Yes, recently",Not confident,Consult a colleague,Rarely,Sometimes,Occasionally,Every week,Rarely,Confident,Not sure,Not helpful at all,Sometimes,Quizzes,Effective,No,Neutral,Somewhat,"Yes, frequently",Rarely,Neutral,Neutral,"Yes, somewhat"
Sometimes,No,Not confident at all,"Yes, recently",Very confident,Open and read carefully,Never,Most of the time,Occasionally,Occasionally,Sometimes,Confident,Rarely,Very helpful,Always,Videos,Effective,Rarely,Somewhat relevant,Neutral,Sometimes,Sometimes,Effective,Neutral,"Yes, somewhat"
Rarely,Not sure what a password manager is,Not confident at all,"Yes, recently",Neutral,Open and read carefully,Never,"Yes, always","Yes, frequently",Monthly,"Yes, automatically",Very confident,Never,Neutral,Always,Live training sessions,Effective,Sometimes,Neutral,No,Sometimes,"Yes, always",Effective,Useful,"Yes, significantly"
Often,No,Not confident,Not sure,Neutral,Report it to IT,Sometimes,Rarely,"Yes, frequently",Rarely,"Yes, manually",Confident,Never,Neutral,Sometimes,Videos,Effective,Sometimes,Not relevant,Neutral,Sometimes,No,Effective,Not useful,"Yes, somewhat"
Never,No,Not confident at all,Not sure,Neutral,Consult a colleague,Often,Rarely,"Yes, frequently",Monthly,Never,Confident,Occasionally,Neutral,Sometimes,Videos,Very effective,No,Neutral,Neutral,Sometimes,Sometimes,Neutral,Not useful,Neutral
Sometimes,No,Very confident,"Yes, but a long time ago",Neutral,Delete it immediately,Never,Never,Rarely,Never,Never,Neutral,"Yes, frequently",Neutral,Sometimes,Simulations,Effective,Sometimes,Not relevant,No,Sometimes,Sometimes,Not effective,Useful,"Yes, somewhat"
Rarely,No,Not confident,"No, never",Neutral,Open and read carefully,Always,Rarely,Occasionally,Monthly,Rarely,Not confident,"Yes, frequently",Not very helpful,Rarely,Simulations,Very effective,No,Not relevant,Somewhat,Rarely,Sometimes,"Yes, highly effective",Useful,"Yes, significantly"
Rarely,Not sure what a password manager is,Not confident at all,Not sure,Not confident,Consult a colleague,Rarely,"Yes, always","No, never",Occasionally,Never,Neutral,Occasionally,Not very helpful,Sometimes,Videos,Effective,Sometimes,Somewhat relevant,Neutral,Rarely,Rarely,Effective,Not useful,"Yes, somewhat"
Never,No,Not confident,Not sure,Very confident,Open and read carefully,Rarely,"Yes, always","Yes, frequently",Every week,"Yes, automatically",Confident,Never,Very helpful,Always,Quizzes,Very effective,Sometimes,Very relevant,Neutral,Rarely,"Yes, always",Neutral,Neutral,"Yes, significantly"
Always,No,Not confident at all,"No, never",Neutral,Delete it immediately,Never,"Yes, always",Occasionally,Occasionally,Rarely,Neutral,Not sure,Helpful,Sometimes,Quizzes,Effective,Sometimes,Not relevant,"Yes, significantly",Sometimes,No,Effective,Neutral,"Yes, significantly"
Never,Not sure what a password manager is,Confident,Not sure,Neutral,Consult a colleague,Rarely,Sometimes,"Yes, frequently",Monthly,Rarely,Confident,Never,Not very helpful,Sometimes,Live training sessions,Not effective,No,Not relevant,"Yes, significantly",Rarely,Sometimes,Effective,Very useful,No
Sometimes,No,Not confident at all,"Yes, recently",Somewhat confident,Consult a colleague,Sometimes,Most of the time,"Yes, frequently",Rarely,Sometimes,Not confident,Never,Very helpful,Never,Live training sessions,Neutral,Rarely,Neutral,Neutral,"Yes, frequently","Yes, always",Neutral,Not useful,"Yes, significantly"
Rarely,Yes,Confident,Not sure,Very confident,Open and read carefully,Never,Rarely,"No, never",Every week,Sometimes,Very confident,Rarely,Not very helpful,Always,Videos,Neutral,No,Somewhat relevant,Somewhat,Sometimes,No,Neutral,Not useful,"Yes, significantly"
Often,Yes,Very confident,"Yes, but a long time ago",Not confident,Open and read carefully,Rarely,Most of the time,Occasionally,Rarely,"Yes, automatically",Confident,Rarely,Not helpful at all,Most of the time,Simulations,Neutral,"Yes, always",Very relevant,"Yes, significantly",Rarely,Rarely,"Yes, highly effective",Not useful,"Yes, significantly"
Never,Not sure what a password manager is,Not confident at all,"Yes, recently",Neutral,Consult a colleague,Rarely,Most of the time,Occasionally,Never,Rarely,Confident,"Yes, frequently",Very helpful,Rarely,Quizzes,Very effective,"Yes, always",Very relevant,No,Sometimes,"Yes, always",Effective,Not useful,Neutral
Always,Yes,Confident,"Yes, recently",Very confident,Open and read carefully,Rarely,Rarely,Occasionally,Occasionally,Never,Confident,Not sure,Very helpful,Never,Videos,Effective,No,Somewhat relevant,No,Rarely,Rarely,Neutral,Useful,"Yes, somewhat"
Never,No,Neutral,"No, never",Neutral,Consult a colleague,Often,Rarely,Rarely,Occasionally,Never,Neutral,"Yes, frequently",Not helpful at all,Always,Quizzes,Neutral,"Yes, always",Somewhat relevant,Somewhat,Never,"Yes, always","Yes, highly effective",Not useful,"Yes, significantly"
Always,Yes,Not confident at all,"No, never",Very confident,Consult a colleague,Never,Rarely,Occasionally,Occasionally,"Yes, manually",Very confident,"Yes, frequently",Helpful,Most of the time,Videos,Very effective,Sometimes,Very relevant,"Yes, significantly","Yes, frequently",Rarely,"Yes, highly effective",Very useful,"Yes, significantly"
Always,No,Confident,"Yes, but a long time ago",Not confident,Consult a colleague,Rarely,"Yes, always",Rarely,Every week,Never,Confident,Occasionally,Very helpful,Never,Videos,Neutral,No,Neutral,Neutral,"Yes, frequently","Yes, always",Neutral,Very useful,"Yes, somewhat"
Rarely,Yes,Very confident,"No, never",Somewhat confident,Consult a colleague,Always,Most of the time,Occasionally,Occasionally,"Yes, automatically",Very confident,"Yes, frequently",Not very helpful,Always,Simulations,Very effective,"Yes, always",Not relevant,No,Sometimes,No,Neutral,Very useful,"Yes, significantly"
Often,No,Not confident at all,"Yes, but a long time ago",Somewhat confident,Open and read carefully,Rarely,"Yes, always","Yes, frequently",Every week,Sometimes,Not confident,Rarely,Not helpful at all,Most of the time,Live training sessions,Very effective,No,Very relevant,Somewhat,"Yes, frequently",Rarely,Neutral,Very useful,"Yes, somewhat"
Rarely,Yes,Confident,"Yes, recently",Not confident,Consult a colleague,Never,Sometimes,"No, never",Never,Sometimes,Confident,Never,Not very helpful,Most of the time,Videos,Very effective,Sometimes,Very relevant,Somewhat,"Yes, frequently","Yes, always",Effective,Very useful,Neutral
Often,Not sure what a password manager is,Very confident,Not sure,Very confident,Consult a colleague,Often,Sometimes,Rarely,Never,Rarely,Confident,Occasionally,Helpful,Sometimes,Live training sessions,Neutral,Rarely,Neutral,Neutral,Never,Rarely,Neutral,Not useful,"Yes, significantly"
Always,Not sure what a password manager is,Neutral,Not sure,Not confident,Open and read carefully,Often,"Yes, always",Occasionally,Every week,Sometimes,Confident,Occasionally,Not very helpful,Sometimes,Quizzes,Not effective,"Yes, always",Not relevant,Neutral,"Yes, frequently","Yes, always",Neutral,Neutral,"Yes, significantly"
Never,Not sure what a password manager is,Not confident at all,"No, never",Neutral,Consult a colleague,Sometimes,Sometimes,"Yes, frequently",Never,"Yes, manually",Confident,Occasionally,Not helpful at all,Sometimes,Simulations,Effective,Sometimes,Neutral,"Yes, significantly",Sometimes,No,Neutral,Not useful,"Yes, significantly"
Never,Yes,Confident,"No, never",Neutral,Consult a colleague,Rarely,"Yes, always",Occasionally,Rarely,"Yes, automatically",Very confident,Occasionally,Not very helpful,Most of the time,Quizzes,Very effective,Rarely,Not relevant,"Yes, significantly","Yes, frequently",No,Effective,Very useful,No
Often,Not sure what a password manager is,Confident,"Yes, but a long time ago",Not confident,Open and read carefully,Always,Rarely,Occasionally,Rarely,"Yes, manually",Not confident,Occasionally,Neutral,Sometimes,Quizzes,Very effective,"Yes, always",Very relevant,Somewhat,Sometimes,Sometimes,Effective,Neutral,"Yes, somewhat"
Sometimes,Yes,Confident,"No, never",Not confident,Open and read carefully,Always,Never,"Yes, frequently",Rarely,"Yes, automatically",Confident,Occasionally,Helpful,Sometimes,Quizzes,Very effective,Sometimes,Very relevant,Somewhat,Rarely,Rarely,Effective,Useful,"Yes, significantly"
Never,No,Very confident,"Yes, recently",Very confident,Open and read carefully,Sometimes,"Yes, always","Yes, frequently",Monthly,"Yes, manually",Not confident,Occasionally,Neutral,Always,Quizzes,Not effective,Sometimes,Very relevant,"Yes, significantly",Never,Sometimes,Effective,Useful,"Yes, somewhat"
Rarely,Not sure what a password manager is,Confident,"Yes, recently",Very confident,Consult a colleague,Always,Most of the time,"No, never",Never,Rarely,Not confident,Rarely,Very helpful,Always,Live training sessions,Not effective,"Yes, always",Very relevant,Somewhat,"Yes, frequently",Rarely,Not effective,Very useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Very confident,"Yes, but a long time ago",Somewhat confident,Report it to IT,Always,Sometimes,Rarely,Never,"Yes, automatically",Neutral,Never,Neutral,Sometimes,Simulations,Very effective,No,Somewhat relevant,Neutral,"Yes, frequently",No,Neutral,Useful,"Yes, significantly"
Always,Yes,Confident,"Yes, recently",Neutral,Consult a colleague,Never,"Yes, always","Yes, frequently",Never,"Yes, automatically",Confident,Occasionally,Not helpful at all,Always,Simulations,Effective,Sometimes,Very relevant,No,"Yes, frequently",Sometimes,Neutral,Neutral,"Yes, significantly"
Always,Not sure what a password manager is,Confident,"Yes, but a long time ago",Not confident,Open and read carefully,Often,Most of the time,Rarely,Every week,"Yes, automatically",Neutral,Never,Neutral,Most of the time,Quizzes,Very effective,Rarely,Somewhat relevant,Neutral,Rarely,"Yes, always",Not effective,Very useful,"Yes, significantly"
Never,No,Confident,"Yes, recently",Neutral,Report it to IT,Never,Most of the time,Rarely,Never,Sometimes,Not confident,Rarely,Not very helpful,Sometimes,Videos,Not effective,Rarely,Neutral,Neutral,"Yes, frequently",No,Effective,Very useful,No
Rarely,Not sure what a password manager is,Confident,"No, never",Neutral,Report it to IT,Never,"Yes, always",Rarely,Rarely,"Yes, manually",Neutral,Rarely,Very helpful,Sometimes,Videos,Not effective,"Yes, always",Neutral,No,Rarely,Sometimes,Neutral,Useful,Neutral
Often,No,Very confident,"Yes, recently",Somewhat confident,Open and read carefully,Often,Most of the time,Rarely,Occasionally,"Yes, manually",Very confident,Not sure,Not very helpful,Rarely,Live training sessions,Very effective,No,Somewhat relevant,"Yes, significantly",Never,Rarely,"Yes, highly effective",Neutral,No
Never,Not sure what a password manager is,Very confident,Not sure,Very confident,Consult a colleague,Never,"Yes, always","Yes, frequently",Every week,"Yes, automatically",Confident,"Yes, frequently",Helpful,Always,Live training sessions,Effective,Rarely,Neutral,Neutral,Sometimes,Rarely,Not effective,Very useful,Neutral
Often,No,Not confident,Not sure,Very confident,Report it to IT,Never,Rarely,"No, never",Every week,Sometimes,Confident,Occasionally,Not very helpful,Sometimes,Live training sessions,Not effective,Sometimes,Not relevant,Somewhat,Rarely,No,Neutral,Not useful,No
Sometimes,Yes,Very confident,"Yes, recently",Neutral,Consult a colleague,Rarely,Most of the time,"Yes, frequently",Monthly,"Yes, automatically",Confident,Occasionally,Not very helpful,Sometimes,Live training sessions,Not effective,Rarely,Neutral,Somewhat,Rarely,Sometimes,Effective,Neutral,"Yes, significantly"
Often,Yes,Confident,"Yes, but a long time ago",Neutral,Report it to IT,Always,Most of the time,Rarely,Rarely,Never,Not confident,Never,Neutral,Most of the time,Videos,Very effective,Rarely,Somewhat relevant,"Yes, significantly","Yes, frequently",Rarely,Neutral,Very useful,"Yes, somewhat"
Sometimes,Yes,Neutral,"Yes, but a long time ago",Very confident,Open and read carefully,Rarely,Most of the time,Occasionally,Rarely,"Yes, manually",Very confident,Occasionally,Not very helpful,Most of the time,Simulations,Very effective,No,Somewhat relevant,No,Rarely,Sometimes,Effective,Very useful,"Yes, significantly"
Never,Yes,Not confident,"Yes, but a long time ago",Neutral,Delete it immediately,Often,Sometimes,"No, never",Never,Never,Neutral,Not sure,Not very helpful,Never,Simulations,Very effective,No,Somewhat relevant,No,Rarely,"Yes, always","Yes, highly effective",Very useful,Neutral
Often,Yes,Very confident,"Yes, recently",Not confident,Delete it immediately,Always,"Yes, always",Rarely,Every week,Rarely,Confident,"Yes, frequently",Neutral,Sometimes,Quizzes,Very effective,"Yes, always",Very relevant,Somewhat,"Yes, frequently",Rarely,"Yes, highly effective",Not useful,"Yes, somewhat"
Sometimes,Not sure what a password manager is,Confident,"No, never",Very confident,Open and read carefully,Rarely,Rarely,Rarely,Every week,Rarely,Neutral,Rarely,Neutral,Sometimes,Quizzes,Not effective,No,Not relevant,No,Sometimes,No,Effective,Useful,"Yes, somewhat"
Never,Not sure what a password manager is,Not confident,"Yes, but a long time ago",Neutral,Consult a colleague,Rarely,"Yes, always","Yes, frequently",Monthly,Rarely,Confident,"Yes, frequently",Helpful,Sometimes,Simulations,Neutral,No,Not relevant,Neutral,Rarely,Rarely,Neutral,Very useful,No
Rarely,No,Neutral,Not sure,Somewhat confident,Consult a colleague,Always,Never,Occasionally,Monthly,"Yes, automatically",Not confident,Occasionally,Not helpful at all,Sometimes,Simulations,Not effective,No,Not relevant,Neutral,Rarely,Sometimes,Neutral,Useful,"Yes, somewhat"
Sometimes,No,Neutral,Not sure,Neutral,Delete it immediately,Sometimes,Sometimes,"No, never",Occasionally,"Yes, automatically",Very confident,"Yes, frequently",Very helpful,Most of the time,Quizzes,Not effective,No,Not relevant,Somewhat,Never,Rarely,"Yes, highly effective",Neutral,Neutral
Rarely,Yes,Very confident,"Yes, but a long time ago",Not confident,Consult a colleague,Sometimes,Most of the time,"Yes, frequently",Monthly,"Yes, manually",Not confident,Rarely,Neutral,Rarely,Live training sessions,Not effective,"Yes, always",Not relevant,"Yes, significantly","Yes, frequently",No,Effective,Neutral,"Yes, somewhat"
Rarely,No,Very confident,"No, never",Very confident,Consult a colleague,Sometimes,Never,Rarely,Occasionally,Rarely,Confident,Never,Not helpful at all,Most of the time,Live training sessions,Not effective,No,Neutral,Somewhat,Rarely,Rarely,Neutral,Neutral,No
Never,No,Not confident,"Yes, recently",Neutral,Open and read carefully,Rarely,Sometimes,Occasionally,Monthly,Never,Confident,"Yes, frequently",Not very helpful,Most of the time,Videos,Very effective,"Yes, always",Not relevant,Somewhat,"Yes, frequently",Sometimes,Not effective,Not useful,Neutral
Sometimes,Not sure what a password manager is,Confident,"No, never",Not confident,Report it to IT,Never,"Yes, always","Yes, frequently",Rarely,Never,Neutral,Rarely,Not very helpful,Most of the time,Videos,Neutral,Sometimes,Somewhat relevant,Neutral,Never,Rarely,"Yes, highly effective",Very useful,"Yes, significantly"
Sometimes,Yes,Very confident,"No, never",Somewhat confident,Open and read carefully,Never,Most of the time,Rarely,Rarely,Rarely,Very confident,Never,Not helpful at all,Most of the time,Quizzes,Neutral,"Yes, always",Not relevant,Neutral,Rarely,Rarely,Neutral,Neutral,No
Often,Yes,Very confident,"No, never",Neutral,Delete it immediately,Always,Never,Rarely,Monthly,Never,Not confident,Rarely,Helpful,Rarely,Videos,Not effective,Sometimes,Neutral,"Yes, significantly","Yes, frequently",Rarely,Effective,Useful,Neutral
Sometimes,Yes,Neutral,Not sure,Not confident,Consult a colleague,Rarely,"Yes, always",Occasionally,Occasionally,"Yes, automatically",Confident,"Yes, frequently",Neutral,Rarely,Simulations,Very effective,Rarely,Not relevant,No,Sometimes,No,"Yes, highly effective",Very useful,"Yes, significantly"
Sometimes,No,Confident,"No, never",Neutral,Report it to IT,Often,Never,Occasionally,Occasionally,Never,Confident,Occasionally,Not very helpful,Never,Live training sessions,Neutral,Rarely,Not relevant,"Yes, significantly",Rarely,Rarely,Not effective,Useful,"Yes, significantly"
Often,Yes,Not confident,"Yes, but a long time ago",Very confident,Report it to IT,Always,Most of the time,Occasionally,Every week,"Yes, automatically",Confident,"Yes, frequently",Helpful,Never,Videos,Neutral,Sometimes,Very relevant,Somewhat,Sometimes,"Yes, always",Effective,Not useful,No
Sometimes,Not sure what a password manager is,Neutral,"Yes, recently",Somewhat confident,Report it to IT,Sometimes,Never,Rarely,Never,Never,Confident,Rarely,Not helpful at all,Most of the time,Videos,Very effective,Sometimes,Not relevant,Neutral,Rarely,Sometimes,Neutral,Neutral,No
Never,Not sure what a password manager is,Confident,"Yes, but a long time ago",Very confident,Consult a colleague,Often,Most of the time,Occasionally,Every week,Rarely,Very confident,Occasionally,Not very helpful,Always,Simulations,Very effective,Rarely,Neutral,Neutral,Rarely,Rarely,Neutral,Useful,"Yes, somewhat"
Sometimes,Yes,Very confident,"No, never",Neutral,Consult a colleague,Rarely,Rarely,Rarely,Rarely,Never,Confident,"Yes, frequently",Not very helpful,Sometimes,Live training sessions,Very effective,Sometimes,Neutral,Somewhat,Rarely,No,Neutral,Not useful,Neutral
Sometimes,Not sure what a password manager is,Very confident,"Yes, recently",Very confident,Consult a colleague,Rarely,Most of the time,"Yes, frequently",Monthly,Never,Very confident,Never,Not helpful at all,Always,Live training sessions,Neutral,No,Not relevant,"Yes, significantly",Rarely,Rarely,Not effective,Very useful,Neutral
Always,Yes,Very confident,"Yes, but a long time ago",Neutral,Consult a colleague,Rarely,"Yes, always","Yes, frequently",Occasionally,Sometimes,Not confident,"Yes, frequently",Not helpful at all,Most of the time,Videos,Effective,"Yes, always",Neutral,Somewhat,"Yes, frequently",No,Not effective,Neutral,No
